property_id,month,occupancy,rent_collected,nebenkosten_collected,nebenkosten_spent,maintenance_spike,mortgage_emi,total_income,total_expenses_ex_emi,net_cashflow
P05,2025-11,Occupied,408.0,138.7,156.62,0.0,252.56,546.7,234.51,59.63
P05,2025-12,Occupied,408.0,138.7,145.85,0.0,252.56,546.7,223.74,70.4
P05,2026-01,Occupied,408.0,138.7,140.32,194.46,252.56,546.7,412.67,-118.53
P05,2026-02,Occupied,408.0,138.7,130.46,0.0,252.56,546.7,208.35,85.79
P05,2026-03,Occupied,408.0,138.7,123.57,0.0,252.56,546.7,201.46,92.68
P05,2026-04,Occupied,408.0,138.7,133.93,0.0,252.56,546.7,211.82,82.32
P05,2026-05,Occupied,408.0,138.7,120.79,454.66,252.56,546.7,653.34,-359.2
P05,2026-06,Occupied,408.0,138.7,148.53,527.14,252.56,546.7,753.56,-459.42
P05,2026-07,Occupied,408.0,138.7,135.52,0.0,252.56,546.7,213.41,80.73
P05,2026-08,Occupied,408.0,138.7,159.05,157.32,252.56,546.7,394.26,-100.12
P06,2025-09,Occupied,825.0,171.3,156.74,0.0,737.03,996.3,275.75,-16.48
P06,2025-10,Occupied,825.0,171.3,168.95,0.0,737.03,996.3,287.96,-28.69
P06,2025-11,Occupied,825.0,171.3,155.23,0.0,737.03,996.3,274.24,-14.97
P06,2025-12,Occupied,825.0,171.3,178.89,0.0,737.03,996.3,297.9,-38.63
P06,2026-01,Occupied,825.0,171.3,194.32,0.0,737.03,996.3,313.33,-54.06
P06,2026-02,Occupied,825.0,171.3,190.74,607.41,737.03,996.3,917.16,-657.89
P06,2026-03,Occupied,825.0,171.3,149.63,529.9,737.03,996.3,798.54,-539.27
P06,2026-04,Occupied,825.0,171.3,160.23,0.0,737.03,996.3,279.24,-19.97
P06,2026-05,Occupied,825.0,171.3,195.01,0.0,737.03,996.3,314.02,-54.75
P06,2026-06,Occupied,825.0,171.3,154.97,520.42,737.03,996.3,794.4,-535.13
P06,2026-07,Occupied,825.0,171.3,158.37,0.0,737.03,996.3,277.38,-18.11
P06,2026-08,Occupied,825.0,171.3,162.07,0.0,737.03,996.3,281.08,-21.81
P07,2025-09,Occupied,435.0,168.94,165.02,0.0,277.83,603.94,242.03,84.08
P07,2025-10,Occupied,435.0,168.94,151.64,0.0,277.83,603.94,228.65,97.46
P07,2025-11,Occupied,435.0,168.94,170.17,0.0,277.83,603.94,247.18,78.93
P07,2025-12,Occupied,435.0,168.94,161.99,0.0,277.83,603.94,239.0,87.11
P07,2026-01,Occupied,435.0,168.94,150.73,0.0,277.83,603.94,227.74,98.37
P07,2026-02,Occupied,435.0,168.94,182.75,0.0,277.83,603.94,259.76,66.35
P07,2026-03,Occupied,435.0,168.94,150.86,442.46,277.83,603.94,670.33,-344.22
P07,2026-04,Occupied,435.0,168.94,164.26,0.0,277.83,603.94,241.27,84.84
P07,2026-05,Occupied,435.0,168.94,155.47,0.0,277.83,603.94,232.48,93.63
P07,2026-06,Occupied,435.0,168.94,151.67,0.0,277.83,603.94,228.68,97.43
P07,2026-07,Occupied,435.0,168.94,177.46,0.0,277.83,603.94,254.47,71.64
P07,2026-08,Occupied,435.0,168.94,152.35,0.0,277.83,603.94,229.36,96.75
P08,2025-09,Occupied,563.2,179.17,164.56,324.75,426.45,742.37,586.24,-270.32
P08,2025-10,Occupied,563.2,179.17,191.64,667.39,426.45,742.37,955.96,-640.04
P08,2025-11,Occupied,563.2,179.17,193.09,0.0,426.45,742.37,290.02,25.9
P08,2025-12,Occupied,563.2,179.17,185.46,0.0,426.45,742.37,282.39,33.53
P08,2026-01,Occupied,563.2,179.17,183.87,308.33,426.45,742.37,589.13,-273.21
P08,2026-02,Occupied,563.2,179.17,199.46,0.0,426.45,742.37,296.39,19.53
P08,2026-03,Occupied,563.2,179.17,167.56,0.0,426.45,742.37,264.49,51.43
P08,2026-04,Occupied,563.2,179.17,169.75,0.0,426.45,742.37,266.68,49.24
P08,2026-05,Occupied,563.2,179.17,192.16,0.0,426.45,742.37,289.09,26.83
P08,2026-06,Occupied,563.2,179.17,200.68,320.96,426.45,742.37,618.57,-302.65
P08,2026-07,Occupied,563.2,179.17,197.41,0.0,426.45,742.37,294.34,21.58
P08,2026-08,Occupied,563.2,179.17,203.36,0.0,426.45,742.37,300.29,15.63
